datetime,call_sym,put_sym,data_call,data_put,straddleValue
2024-06-13 09:16:00,SENSEX14JUN2477000CE,SENSEX14JUN2477000PE,334.5,383.85,718.35
2024-06-13 09:17:00,SENSEX14JUN2477000CE,SENSEX14JUN2477000PE,340.9,376.5,717.4
2024-06-13 09:18:00,SENSEX14JUN2477000CE,SENSEX14JUN2477000PE,327.5,369.25,696.75
2024-06-13 09:19:00,SENSEX14JUN2477000CE,SENSEX14JUN2477000PE,321.5,373.0,694.5
2024-06-13 09:20:00,SENSEX14JUN2477000CE,SENSEX14JUN2477000PE,317.3,367.95,685.25
2024-06-13 09:21:00,SENSEX14JUN2477000CE,SENSEX14JUN2477000PE,340.05,352.0,692.05
2024-06-13 09:22:00,SENSEX14JUN2477000CE,SENSEX14JUN2477000PE,335.65,350.75,686.4
2024-06-13 09:23:00,SENSEX14JUN2477000CE,SENSEX14JUN2477000PE,336.55,348.9,685.45
2024-06-13 09:24:00,SENSEX14JUN2476900CE,SENSEX14JUN2476900PE,373.0,323.35,696.35
2024-06-13 09:25:00,SENSEX14JUN2477000CE,SENSEX14JUN2477000PE,319.05,370.5,689.55
2024-06-13 09:26:00,SENSEX14JUN2477000CE,SENSEX14JUN2477000PE,339.15,348.2,687.35
2024-06-13 09:27:00,SENSEX14JUN2477000CE,SENSEX14JUN2477000PE,342.4,338.4,680.8
2024-06-13 09:28:00,SENSEX14JUN2477000CE,SENSEX14JUN2477000PE,342.45,337.2,679.65
2024-06-13 09:29:00,SENSEX14JUN2476900CE,SENSEX14JUN2476900PE,363.55,321.6,685.15
2024-06-13 09:30:00,SENSEX14JUN2476900CE,SENSEX14JUN2476900PE,360.6,325.9,686.5
2024-06-13 09:31:00,SENSEX14JUN2476900CE,SENSEX14JUN2476900PE,351.75,325.0,676.75
2024-06-13 09:32:00,SENSEX14JUN2476900CE,SENSEX14JUN2476900PE,334.45,333.65,668.1
2024-06-13 09:33:00,SENSEX14JUN2476900CE,SENSEX14JUN2476900PE,352.55,310.1,662.65
2024-06-13 09:34:00,SENSEX14JUN2476900CE,SENSEX14JUN2476900PE,342.4,323.7,666.1
2024-06-13 09:35:00,SENSEX14JUN2477000CE,SENSEX14JUN2477000PE,299.05,364.4,663.45
2024-06-13 09:36:00,SENSEX14JUN2476900CE,SENSEX14JUN2476900PE,333.0,329.35,662.35
2024-06-13 09:37:00,SENSEX14JUN2476900CE,SENSEX14JUN2476900PE,317.6,354.2,671.8
2024-06-13 09:38:00,SENSEX14JUN2476900CE,SENSEX14JUN2476900PE,324.05,339.9,663.95
2024-06-13 09:39:00,SENSEX14JUN2476900CE,SENSEX14JUN2476900PE,321.85,344.0,665.85
2024-06-13 09:40:00,SENSEX14JUN2476900CE,SENSEX14JUN2476900PE,310.65,348.65,659.3
2024-06-13 09:41:00,SENSEX14JUN2476900CE,SENSEX14JUN2476900PE,309.35,353.6,662.95
2024-06-13 09:42:00,SENSEX14JUN2476800CE,SENSEX14JUN2476800PE,348.1,317.65,665.75
2024-06-13 09:43:00,SENSEX14JUN2476900CE,SENSEX14JUN2476900PE,309.1,341.3,650.4
2024-06-13 09:44:00,SENSEX14JUN2476800CE,SENSEX14JUN2476800PE,346.8,316.55,663.35
