datetime,call_sym,put_sym,data_call,data_put,straddleValue
2022-11-04 09:16:00,NIFTY10NOV2218100CE,NIFTY10NOV2218100PE,125.0,139.85,264.85
2022-11-04 09:17:00,NIFTY10NOV2218100CE,NIFTY10NOV2218100PE,135.3,123.55,258.85
2022-11-04 09:18:00,NIFTY10NOV2218100CE,NIFTY10NOV2218100PE,133.15,122.4,255.55
2022-11-04 09:19:00,NIFTY10NOV2218100CE,NIFTY10NOV2218100PE,130.85,122.4,253.25
2022-11-04 09:20:00,NIFTY10NOV2218100CE,NIFTY10NOV2218100PE,126.25,126.4,252.65
2022-11-04 09:21:00,NIFTY10NOV2218100CE,NIFTY10NOV2218100PE,125.9,125.6,251.5
2022-11-04 09:22:00,NIFTY10NOV2218050CE,NIFTY10NOV2218050PE,139.95,112.6,252.55
2022-11-04 09:23:00,NIFTY10NOV2218050CE,NIFTY10NOV2218050PE,136.6,115.6,252.2
2022-11-04 09:24:00,NIFTY10NOV2218050CE,NIFTY10NOV2218050PE,135.0,119.25,254.25
2022-11-04 09:25:00,NIFTY10NOV2218050CE,NIFTY10NOV2218050PE,136.7,119.75,256.45
2022-11-04 09:26:00,NIFTY10NOV2218050CE,NIFTY10NOV2218050PE,135.8,121.4,257.2
2022-11-04 09:27:00,NIFTY10NOV2218050CE,NIFTY10NOV2218050PE,135.05,120.65,255.7
2022-11-04 09:28:00,NIFTY10NOV2218050CE,NIFTY10NOV2218050PE,141.0,115.1,256.1
2022-11-04 09:29:00,NIFTY10NOV2218050CE,NIFTY10NOV2218050PE,144.8,111.4,256.2
2022-11-04 09:30:00,NIFTY10NOV2218100CE,NIFTY10NOV2218100PE,121.0,129.15,250.15
2022-11-04 09:31:00,NIFTY10NOV2218100CE,NIFTY10NOV2218100PE,122.45,127.5,249.95
2022-11-04 09:32:00,NIFTY10NOV2218100CE,NIFTY10NOV2218100PE,120.6,127.55,248.15
2022-11-04 09:33:00,NIFTY10NOV2218050CE,NIFTY10NOV2218050PE,140.65,111.0,251.65
