datetime,call_sym,put_sym,data_call,data_put,straddleValue
2024-01-25 09:16:00,SENSEX25JAN2470900CE,SENSEX25JAN2470900PE,311.25,187.15,498.4
2024-01-25 09:17:00,SENSEX25JAN2470900CE,SENSEX25JAN2470900PE,271.6,203.05,474.65
2024-01-25 09:18:00,SENSEX25JAN2470900CE,SENSEX25JAN2470900PE,258.3,192.9,451.2
2024-01-25 09:19:00,SENSEX25JAN2470900CE,SENSEX25JAN2470900PE,243.45,192.95,436.4
2024-01-25 09:20:00,SENSEX25JAN2470900CE,SENSEX25JAN2470900PE,230.0,211.1,441.1
2024-01-25 09:21:00,SENSEX25JAN2470900CE,SENSEX25JAN2470900PE,233.45,191.6,425.05
2024-01-25 09:22:00,SENSEX25JAN2470900CE,SENSEX25JAN2470900PE,212.25,204.9,417.15
2024-01-25 09:23:00,SENSEX25JAN2470900CE,SENSEX25JAN2470900PE,215.45,187.35,402.8
2024-01-25 09:24:00,SENSEX25JAN2470800CE,SENSEX25JAN2470800PE,298.85,228.4,527.25
2024-01-25 09:25:00,SENSEX25JAN2470800CE,SENSEX25JAN2470800PE,225.5,272.6,498.1
2024-01-25 09:26:00,SENSEX25JAN2470800CE,SENSEX25JAN2470800PE,226.5,232.25,458.75
2024-01-25 09:27:00,SENSEX25JAN2470800CE,SENSEX25JAN2470800PE,234.25,212.4,446.65
2024-01-25 09:28:00,SENSEX25JAN2470900CE,SENSEX25JAN2470900PE,255.35,203.0,458.35
2024-01-25 09:29:00,SENSEX25JAN2471000CE,SENSEX25JAN2471000PE,214.05,236.25,450.3
2024-01-25 09:30:00,SENSEX25JAN2471000CE,SENSEX25JAN2471000PE,206.5,235.2,441.7
2024-01-25 09:31:00,SENSEX25JAN2471000CE,SENSEX25JAN2471000PE,205.55,213.4,418.95
2024-01-25 09:32:00,SENSEX25JAN2470900CE,SENSEX25JAN2470900PE,207.5,208.6,416.1
2024-01-25 09:33:00,SENSEX25JAN2470800CE,SENSEX25JAN2470800PE,269.55,165.15,434.7
