datetime,call,put,straddle,strangle
2025-06-24 12:50:36,134.25,101.0,235.25,235.25
2025-06-24 12:51:04,134.6,102.45,237.05,237.05
2025-06-24 12:52:03,141.95,93.75,235.7,235.7
2025-06-24 12:53:03,148.75,89.2,237.95,237.95
2025-06-24 12:54:04,146.3,88.35,234.65,234.65
2025-06-24 12:55:03,147.6,87.1,234.7,234.7
2025-06-24 12:56:04,145.2,85.85,231.04999999999998,231.04999999999998
2025-06-24 12:57:03,146.25,84.35,230.6,230.6
2025-06-24 12:58:03,142.45,86.9,229.35,229.35
2025-06-24 12:59:04,139.3,88.85,228.15,228.15
2025-06-24 13:00:04,131.55,93.0,224.55,224.55
2025-06-24 13:01:03,137.8,96.05,233.85000000000002,233.85000000000002
2025-06-24 13:02:04,142.95,93.6,236.54999999999998,236.54999999999998
2025-06-24 13:03:03,139.25,96.55,235.8,235.8
2025-06-24 13:04:03,120.35,107.8,228.14999999999998,228.14999999999998
2025-06-24 13:05:04,145.05,89.15,234.20000000000002,234.20000000000002
2025-06-24 13:06:03,145.25,88.85,234.1,234.1
2025-06-24 13:07:03,120.85,101.55,222.39999999999998,222.39999999999998
2025-06-24 13:08:03,123.05,99.45,222.5,222.5
2025-06-24 13:09:03,120.55,101.0,221.55,221.55
2025-06-24 13:10:04,124.85,99.45,224.3,224.3
2025-06-24 13:11:03,125.2,98.45,223.65,223.65
2025-06-24 13:12:03,148.8,85.05,233.85000000000002,233.85000000000002
2025-06-24 13:13:03,147.85,88.1,235.95,235.95
2025-06-24 13:14:03,137.6,94.45,232.05,232.05
2025-06-24 13:15:04,127.0,106.0,233.0,233.0
2025-06-24 13:16:03,130.15,103.35,233.5,233.5
2025-06-24 13:17:03,125.75,111.25,237.0,237.0
2025-06-24 13:18:04,148.5,94.1,242.6,242.6
2025-06-24 13:19:03,127.85,109.0,236.85,236.85
2025-06-24 13:20:03,127.1,108.7,235.8,235.8
2025-06-24 13:21:04,152.15,93.15,245.3,245.3
2025-06-24 13:22:03,146.7,97.95,244.64999999999998,244.64999999999998
2025-06-24 13:23:03,148.4,93.3,241.7,241.7
2025-06-24 13:24:04,134.85,110.0,244.85,244.85
2025-06-24 13:25:03,159.6,95.8,255.39999999999998,255.39999999999998
2025-06-24 13:26:03,137.85,104.55,242.39999999999998,242.39999999999998
2025-06-24 13:27:04,136.0,111.1,247.1,247.1
2025-06-24 13:28:03,135.25,113.55,248.8,248.8
2025-06-24 13:29:03,133.15,110.9,244.05,244.05
2025-06-24 13:30:04,134.6,110.1,244.7,244.7
2025-06-24 13:31:03,141.7,98.65,240.35,240.35
2025-06-24 13:32:04,135.75,109.85,245.6,245.6
2025-06-24 13:33:04,153.75,100.75,254.5,254.5
2025-06-24 13:34:03,144.95,107.35,252.29999999999998,252.29999999999998
2025-06-24 13:35:04,146.7,106.05,252.75,252.05
2025-06-24 13:36:03,135.55,115.05,250.60000000000002,250.60000000000002
2025-06-24 13:37:04,158.4,104.0,262.4,262.4
2025-06-24 13:38:04,147.0,115.55,262.55,262.55
2025-06-24 13:39:03,157.1,105.65,262.75,262.75
2025-06-24 13:40:04,156.45,109.8,266.25,266.25
2025-06-24 13:41:03,157.15,108.85,266.0,266.0
2025-06-24 13:42:03,139.75,107.4,247.15,247.15
2025-06-24 13:43:04,128.0,119.55,247.55,247.55
2025-06-24 13:44:03,148.4,112.75,261.15,261.15
2025-06-24 13:45:04,150.55,108.95,259.5,259.5
2025-06-24 13:46:04,147.35,111.4,258.75,258.75
2025-06-24 13:47:03,167.8,98.65,266.45000000000005,266.45000000000005
2025-06-24 13:48:03,169.0,93.55,262.55,262.55
2025-06-24 13:49:04,138.95,118.7,257.65,257.65
2025-06-24 13:50:03,143.8,113.55,257.35,257.35
2025-06-24 13:51:03,147.6,107.2,254.8,254.8
2025-06-24 13:52:04,148.8,100.6,249.4,249.4
2025-06-24 13:53:03,155.8,93.25,249.05,249.05
2025-06-24 13:54:03,156.35,91.3,247.64999999999998,247.64999999999998
2025-06-24 13:55:04,133.4,101.9,235.3,235.3
2025-06-24 13:56:03,153.25,92.0,245.25,245.25
2025-06-24 13:57:03,155.55,91.7,247.25,247.25
2025-06-24 13:58:03,155.25,92.6,247.85,247.85
2025-06-24 13:59:03,155.1,87.35,242.45,242.45
2025-06-24 14:00:03,131.65,99.2,230.85000000000002,230.85000000000002
2025-06-24 14:00:17,131.15,99.65,230.8,145.85
2025-06-24 14:01:03,137.05,90.95,228.0,143.55
2025-06-24 14:02:03,128.45,99.8,228.25,145.1
2025-06-24 14:03:03,149.65,87.7,237.35000000000002,154.9
2025-06-24 14:04:04,146.15,94.65,240.8,154.75
2025-06-24 14:05:03,135.5,106.2,241.7,154.95
2025-06-24 14:06:03,135.6,113.75,249.35,161.9
2025-06-24 14:07:03,157.8,100.55,258.35,169.55
2025-06-24 14:08:03,156.75,104.05,260.8,169.5
2025-06-24 14:09:04,134.2,111.6,245.79999999999998,160.60000000000002
2025-06-24 14:10:04,139.3,105.2,244.5,158.3
2025-06-24 14:11:03,135.8,109.85,245.65,158.7
2025-06-24 14:12:04,158.6,96.2,254.8,166.75
2025-06-24 14:13:03,162.05,92.15,254.20000000000002,167.2
2025-06-24 14:14:03,142.85,101.15,244.0,159.05
2025-06-24 14:15:04,142.2,100.5,242.7,156.95
2025-06-24 14:16:04,145.25,98.15,243.4,156.9
2025-06-24 14:17:03,137.9,106.0,243.9,158.0
2025-06-24 14:18:03,145.15,96.3,241.45,155.55
2025-06-24 14:19:04,145.4,94.25,239.65,153.1
2025-06-24 14:20:03,141.65,94.85,236.5,151.0
2025-06-24 14:21:03,138.75,96.95,235.7,150.0
2025-06-24 14:22:03,158.05,89.55,247.60000000000002,160.45
2025-06-24 14:23:03,138.9,96.95,235.85000000000002,149.95
2025-06-24 14:24:04,135.85,100.9,236.75,151.0
2025-06-24 14:25:04,135.65,99.3,234.95,149.4
2025-06-24 14:26:03,137.15,98.7,235.85000000000002,147.5
2025-06-24 14:27:04,131.0,104.0,235.0,148.95
2025-06-24 14:28:03,129.5,104.25,233.75,148.3
2025-06-24 14:29:03,157.25,85.9,243.15,156.45
2025-06-24 14:30:04,133.0,99.35,232.35,146.55
2025-06-24 14:31:03,134.5,97.3,231.8,147.35
2025-06-24 14:32:03,143.8,90.1,233.9,147.65
2025-06-24 14:33:03,143.2,89.9,233.1,148.15
2025-06-24 14:34:03,139.0,92.7,231.7,145.45
2025-06-24 14:35:03,140.3,92.15,232.45000000000002,147.10000000000002
2025-06-24 14:36:04,143.85,89.25,233.1,147.4
2025-06-24 14:37:03,137.2,92.5,229.7,145.39999999999998
2025-06-24 14:38:03,139.75,93.05,232.8,147.75
2025-06-24 14:39:04,140.1,93.2,233.3,147.39999999999998
2025-06-24 14:40:03,144.3,88.75,233.05,146.9
2025-06-24 14:41:03,142.55,90.4,232.95000000000002,148.1
2025-06-24 14:42:04,142.7,89.45,232.14999999999998,146.4
2025-06-24 14:43:03,145.45,85.35,230.79999999999998,145.35
2025-06-24 14:44:03,139.3,89.95,229.25,145.15
2025-06-24 14:45:04,136.5,95.05,231.55,146.10000000000002
2025-06-24 14:46:03,128.55,102.75,231.3,147.6
2025-06-24 14:47:04,136.85,96.75,233.6,147.05
2025-06-24 14:48:03,136.05,96.4,232.45000000000002,147.45
2025-06-24 14:49:04,129.5,102.0,231.5,145.55
2025-06-24 14:50:03,127.7,102.7,230.4,144.85000000000002
2025-06-24 14:51:03,127.0,102.35,229.35,144.25
2025-06-24 14:52:04,120.1,106.8,226.89999999999998,142.3
2025-06-24 14:53:03,123.85,102.1,225.95,142.10000000000002
2025-06-24 14:54:04,121.1,106.5,227.6,142.7
2025-06-24 14:55:04,128.1,98.9,227.0,140.95
2025-06-24 14:56:03,123.1,103.7,226.8,141.05
2025-06-24 14:57:04,123.5,102.8,226.3,141.7
2025-06-24 14:58:03,121.05,104.85,225.89999999999998,140.9
2025-06-24 14:59:03,116.3,109.6,225.89999999999998,140.9
2025-06-24 15:00:04,117.1,108.0,225.1,140.25
2025-06-24 15:01:03,124.35,98.7,223.05,139.15
2025-06-24 15:02:04,115.0,108.4,223.4,139.35000000000002
2025-06-24 15:03:03,114.05,106.7,220.75,136.25
2025-06-24 15:04:03,107.4,113.9,221.3,136.55
2025-06-24 15:05:04,109.75,110.05,219.8,135.35
2025-06-24 15:06:03,111.1,109.35,220.45,135.55
2025-06-24 15:07:03,109.65,108.35,218.0,133.25
2025-06-24 15:08:04,105.2,113.15,218.35000000000002,134.75
2025-06-24 15:09:03,106.8,109.25,216.05,132.05
2025-06-24 15:10:03,110.2,106.75,216.95,133.5
2025-06-24 15:11:04,109.05,106.95,216.0,132.8
2025-06-24 15:12:03,108.4,107.2,215.60000000000002,131.9
2025-06-24 15:13:03,112.15,105.6,217.75,133.9
2025-06-24 15:14:04,109.5,107.7,217.2,133.6
2025-06-24 15:15:04,110.0,107.1,217.1,135.75
2025-06-24 15:16:03,120.9,95.9,216.8,134.35
2025-06-24 15:17:04,128.05,88.1,216.15,132.5
2025-06-24 15:18:03,127.65,90.3,217.95,134.95
2025-06-24 15:19:03,126.15,90.1,216.25,133.05
2025-06-24 15:20:04,130.05,86.2,216.25,132.05
2025-06-24 15:21:04,130.2,86.45,216.64999999999998,133.25
2025-06-24 15:22:03,127.6,88.75,216.35,132.60000000000002
2025-06-24 15:23:03,127.2,88.5,215.7,132.25
2025-06-24 15:24:04,128.15,86.1,214.25,131.05
2025-06-24 15:25:03,129.8,86.85,216.65,132.2
2025-06-24 15:26:03,127.95,84.7,212.65,128.8
2025-06-24 15:27:04,128.4,83.9,212.3,128.5
2025-06-24 15:28:03,125.4,85.5,210.9,127.69999999999999
